timestamp_ms,emg_raw,lead_off
0,289,0
0,263,0
1,242,0
1,228,0
2,213,0
2,202,0
2,192,0
3,184,0
3,176,0
4,168,0
4,157,0
5,146,0
7,136,0
8,128,0
8,123,0
9,119,0
10,116,0
11,115,0
11,115,0
12,115,0
13,114,0
14,114,0
15,114,0
16,115,0
16,118,0
17,120,0
18,120,0
19,118,0
20,117,0
21,115,0
21,113,0
22,111,0
23,109,0
24,108,0
25,107,0
26,102,0
26,100,0
27,97,0
28,96,0
29,96,0
29,96,0
30,98,0
31,101,0
32,100,0
33,102,0
33,104,0
34,103,0
35,108,0
36,111,0
37,113,0
38,115,0
38,113,0
39,112,0
40,111,0
41,109,0
42,107,0
43,105,0
43,105,0
44,104,0
45,100,0
46,97,0
47,94,0
47,94,0
49,94,0
50,95,0
51,97,0
51,99,0
52,100,0
53,101,0
54,102,0
55,103,0
55,105,0
56,110,0
57,113,0
58,113,0
59,114,0
60,112,0
60,110,0
61,108,0
62,107,0
63,106,0
64,105,0
65,104,0
65,102,0
66,97,0
67,95,0
68,93,0
68,94,0
69,95,0
70,96,0
71,97,0
71,100,0
72,101,0
73,103,0
74,103,0
75,105,0
76,109,0
76,111,0
77,113,0
78,112,0
79,112,0
80,110,0
81,107,0
81,107,0
82,106,0
83,104,0
84,103,0
85,100,0
86,97,0
86,95,0
87,94,0
88,94,0
89,94,0
89,96,0
90,98,0
92,98,0
93,101,0
93,101,0
94,103,0
95,104,0
96,107,0
97,111,0
98,112,0
98,112,0
99,111,0
100,110,0
101,107,0
102,106,0
103,104,0
104,103,0
105,103,0
106,99,0
106,96,0
107,94,0
108,93,0
109,93,0
110,95,0
111,97,0
111,99,0
112,100,0
113,101,0
114,103,0
115,105,0
116,111,0
117,116,0
118,117,0
119,116,0
119,114,0
120,112,0
121,110,0
122,108,0
123,107,0
124,107,0
125,104,0
126,100,0
127,98,0
128,96,0
128,97,0
129,99,0
130,101,0
131,105,0
132,107,0
133,108,0
135,108,0
136,112,0
137,115,0
137,118,0
138,118,0
139,118,0
140,117,0
141,114,0
142,112,0
143,110,0
144,108,0
145,108,0
146,104,0
147,101,0
148,100,0
148,99,0
149,100,0
150,102,0
151,104,0
152,106,0
153,107,0
154,108,0
155,109,0
156,113,0
157,118,0
157,119,0
158,119,0
159,118,0
160,115,0
161,113,0
162,111,0
163,109,0
164,109,0
165,107,0
166,103,0
167,100,0
168,98,0
168,100,0
169,101,0
170,103,0
171,104,0
172,106,0
173,108,0
174,109,0
175,112,0
177,116,0
178,119,0
178,120,0
179,118,0
180,116,0
181,114,0
182,112,0
183,111,0
184,109,0
185,109,0
186,105,0
187,102,0
188,99,0
188,99,0
189,99,0
190,101,0
191,103,0
192,105,0
193,106,0
194,107,0
195,109,0
196,114,0
197,117,0
197,120,0
198,120,0
199,118,0
200,115,0
201,113,0
202,111,0
203,110,0
204,109,0
205,107,0
206,104,0
207,101,0
207,99,0
208,99,0
209,100,0
210,101,0
211,104,0
212,106,0
213,107,0
214,108,0
215,110,0
216,115,0
216,118,0
217,119,0
218,118,0
220,116,0
221,115,0
222,113,0
223,110,0
224,109,0
225,108,0
226,106,0
227,102,0
227,100,0
228,99,0
229,100,0
230,101,0
231,103,0
232,104,0
233,106,0
234,107,0
235,109,0
236,112,0
237,117,0
237,119,0
238,120,0
239,118,0
240,115,0
241,113,0
242,110,0
243,110,0
244,109,0
245,108,0
246,104,0
247,100,0
247,98,0
248,99,0
249,99,0
250,102,0
251,104,0
252,105,0
253,107,0
254,108,0
255,111,0
255,114,0
256,117,0
257,119,0
258,119,0
259,117,0
260,116,0
261,113,0
263,111,0
264,109,0
265,109,0
266,107,0
266,103,0
267,101,0
268,100,0
269,100,0
270,102,0
271,103,0
272,105,0
273,107,0
274,109,0
275,109,0
276,113,0
277,117,0
277,120,0
278,119,0
279,118,0
280,115,0
281,114,0
282,112,0
283,110,0
284,109,0
285,108,0
286,105,0
287,101,0
287,100,0
288,100,0
289,101,0
290,103,0
291,105,0
292,107,0
293,108,0
294,109,0
295,111,0
296,116,0
297,119,0
298,120,0
298,119,0
299,118,0
300,115,0
301,114,0
302,112,0
303,110,0
305,110,0
306,106,0
307,103,0
308,100,0
309,99,0
309,100,0
310,101,0
311,104,0
312,105,0
313,107,0
314,108,0
315,109,0
316,113,0
317,117,0
318,119,0
319,119,0
319,118,0
320,116,0
321,114,0
322,112,0
323,111,0
324,110,0
325,108,0
326,104,0
327,101,0
328,99,0
329,100,0
329,100,0
330,102,0
331,105,0
332,107,0
333,109,0
334,110,0
335,111,0
336,116,0
337,119,0
338,119,0
339,119,0
339,117,0
340,115,0
341,113,0
342,111,0
343,110,0
344,109,0
345,106,0
346,103,0
348,100,0
349,99,0
350,100,0
350,102,0
351,104,0
352,107,0
353,107,0
354,108,0
355,109,0
