timestamp_ms,emg_raw,lead_off
0,317,0
0,294,0
1,278,0
1,264,0
2,252,0
2,242,0
2,233,0
3,224,0
3,217,0
4,209,0
4,196,0
5,187,0
7,178,0
8,171,0
8,167,0
9,158,0
10,151,0
11,144,0
11,140,0
12,137,0
13,136,0
14,134,0
15,132,0
16,128,0
16,126,0
17,125,0
18,124,0
19,125,0
20,130,0
21,132,0
21,134,0
22,131,0
23,131,0
24,130,0
25,128,0
26,127,0
26,128,0
27,126,0
28,125,0
29,121,0
30,117,0
31,116,0
31,115,0
32,116,0
33,117,0
34,120,0
35,122,0
36,123,0
36,124,0
37,126,0
38,127,0
39,131,0
40,134,0
41,136,0
41,136,0
42,133,0
43,132,0
44,130,0
45,128,0
46,126,0
46,124,0
47,124,0
49,121,0
50,116,0
51,114,0
51,112,0
52,113,0
53,113,0
54,115,0
55,118,0
56,120,0
56,120,0
57,121,0
58,123,0
59,126,0
60,130,0
61,134,0
61,134,0
62,133,0
63,130,0
64,128,0
65,127,0
66,125,0
66,124,0
67,122,0
68,122,0
69,118,0
70,114,0
71,110,0
71,111,0
72,112,0
73,114,0
74,115,0
75,118,0
76,119,0
76,120,0
77,121,0
78,123,0
79,127,0
80,130,0
81,133,0
81,133,0
82,131,0
83,129,0
84,127,0
85,126,0
86,124,0
86,122,0
87,122,0
88,120,0
89,116,0
90,111,0
90,110,0
92,112,0
93,112,0
94,114,0
95,116,0
96,118,0
96,119,0
97,119,0
98,120,0
99,125,0
100,129,0
101,131,0
102,133,0
103,130,0
103,129,0
104,127,0
105,124,0
106,122,0
107,122,0
108,121,0
109,117,0
110,113,0
111,111,0
112,109,0
113,111,0
113,114,0
114,117,0
115,118,0
116,120,0
117,121,0
118,122,0
119,127,0
120,131,0
121,132,0
122,132,0
123,130,0
124,128,0
124,125,0
125,123,0
126,122,0
127,121,0
128,118,0
129,114,0
130,111,0
131,111,0
132,112,0
133,114,0
135,115,0
135,118,0
136,118,0
137,120,0
138,121,0
139,125,0
140,130,0
141,132,0
142,131,0
143,129,0
144,128,0
145,125,0
146,124,0
146,123,0
147,121,0
148,120,0
149,115,0
150,110,0
151,109,0
152,110,0
153,112,0
154,114,0
155,116,0
156,117,0
156,119,0
157,119,0
158,122,0
159,128,0
160,131,0
161,132,0
162,131,0
163,128,0
164,125,0
165,124,0
166,122,0
167,122,0
167,121,0
168,118,0
169,112,0
170,109,0
171,109,0
172,110,0
173,112,0
174,115,0
175,118,0
177,118,0
178,118,0
178,119,0
179,123,0
180,125,0
181,126,0
182,124,0
183,119,0
184,112,0
185,102,0
186,154,0
187,156,0
188,146,0
189,140,0
189,134,0
190,128,0
191,124,0
192,124,0
193,125,0
194,127,0
195,128,0
196,129,0
197,130,0
198,130,0
199,133,0
199,136,0
200,135,0
201,130,0
202,121,0
203,114,0
204,107,0
205,102,0
206,100,0
207,100,0
208,100,0
209,97,0
209,96,0
210,95,0
211,98,0
212,101,0
213,105,0
214,109,0
215,113,0
216,116,0
217,120,0
217,121,0
218,126,0
220,131,0
221,133,0
222,133,0
223,132,0
224,130,0
225,128,0
226,126,0
227,124,0
228,121,0
228,121,0
229,116,0
230,112,0
231,111,0
232,112,0
233,113,0
234,114,0
235,117,0
236,119,0
237,120,0
238,121,0
239,125,0
239,129,0
240,133,0
241,132,0
242,130,0
243,129,0
244,126,0
245,125,0
246,123,0
247,121,0
248,121,0
249,116,0
249,112,0
250,110,0
251,109,0
252,111,0
253,113,0
254,116,0
255,118,0
256,118,0
257,119,0
258,121,0
259,125,0
260,131,0
260,132,0
261,131,0
263,129,0
264,127,0
265,124,0
266,123,0
267,121,0
268,121,0
269,119,0
270,114,0
271,111,0
271,109,0
272,110,0
273,111,0
274,114,0
275,116,0
276,118,0
277,120,0
278,121,0
279,125,0
280,128,0
281,130,0
282,132,0
282,130,0
283,128,0
284,126,0
285,124,0
286,123,0
287,122,0
288,120,0
289,116,0
290,112,0
291,110,0
292,110,0
292,112,0
293,114,0
294,116,0
295,118,0
296,119,0
297,120,0
298,123,0
299,127,0
300,131,0
301,132,0
302,131,0
303,129,0
303,127,0
305,125,0
306,123,0
307,122,0
308,121,0
309,118,0
310,112,0
311,109,0
312,109,0
313,111,0
314,113,0
314,115,0
315,117,0
316,118,0
317,119,0
318,120,0
319,125,0
320,129,0
321,132,0
322,132,0
323,130,0
324,128,0
325,125,0
325,122,0
326,121,0
327,121,0
328,120,0
329,115,0
330,111,0
331,109,0
332,109,0
333,111,0
334,113,0
335,116,0
335,118,0
336,120,0
337,121,0
338,123,0
339,128,0
340,130,0
341,131,0
342,130,0
343,128,0
344,126,0
345,124,0
346,122,0
346,121,0
348,119,0
349,116,0
350,112,0
351,110,0
352,110,0
353,111,0
354,112,0
355,114,0
356,116,0
357,117,0
357,120,0
358,122,0
359,126,0
360,130,0
361,132,0
362,131,0
363,129,0
364,128,0
365,128,0
366,126,0
367,125,0
368,123,0
368,121,0
369,116,0
