2026-07-10 06:46:35,571 [INFO] Conectado a COM5 a 115200 baudios
2026-07-10 06:46:55,205 [WARNING] ACK recibido pero contenido inesperado: '0370S233S,02,00\r,2,39,0S10'
2026-07-10 06:46:55,249 [WARNING] ACK recibido pero contenido inesperado: ',13370'
2026-07-10 06:46:55,293 [WARNING] ACK recibido pero contenido inesperado: '02,7,\rS12,60'
2026-07-10 06:46:55,333 [WARNING] ACK recibido pero contenido inesperado: '320,'
2026-07-10 06:46:55,376 [WARNING] ACK recibido pero contenido inesperado: '023,170'
2026-07-10 06:46:55,414 [WARNING] ACK recibido pero contenido inesperado: ',03150'
2026-07-10 06:46:55,464 [WARNING] ACK recibido pero contenido inesperado: ',023,155,0\r12,5,\rS12,6,0'
2026-07-10 06:46:55,504 [WARNING] ACK recibido pero contenido inesperado: '1023,4,03,,'
2026-07-10 06:46:55,545 [WARNING] ACK recibido pero contenido inesperado: '123250'
2026-07-10 06:46:55,593 [WARNING] ACK recibido pero contenido inesperado: 'S103240'
2026-07-10 06:46:55,616 [WARNING] ACK recibido pero contenido inesperado: '0\r,1023,9,0'
2026-07-10 06:46:55,654 [WARNING] ACK recibido pero contenido inesperado: ',03,0'
2026-07-10 06:46:55,691 [WARNING] ACK recibido pero contenido inesperado: ',016,\r,103110'
2026-07-10 06:46:55,730 [WARNING] ACK recibido pero contenido inesperado: ',031,0'
2026-07-10 06:46:55,767 [WARNING] ACK recibido pero contenido inesperado: '3120'
2026-07-10 06:46:55,809 [WARNING] ACK recibido pero contenido inesperado: ',2,5,\rS12,5,\rS12310,'
2026-07-10 06:46:55,850 [WARNING] ACK recibido pero contenido inesperado: '123,155,0'
2026-07-10 06:46:55,889 [WARNING] ACK recibido pero contenido inesperado: '03152,'
2026-07-10 06:46:55,934 [WARNING] ACK recibido pero contenido inesperado: '13,4,'
2026-07-10 06:46:55,980 [WARNING] ACK recibido pero contenido inesperado: ',03630'
2026-07-10 06:46:56,015 [WARNING] ACK recibido pero contenido inesperado: '03290'
2026-07-10 06:46:56,064 [WARNING] ACK recibido pero contenido inesperado: '23,180\rS,2,8,\rS12,7,\rS12,7,'
2026-07-10 06:46:56,107 [WARNING] ACK recibido pero contenido inesperado: '023,210,0'
